what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1246736005698
closed,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1246736005698
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736015630
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736022085
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736022856
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736061408
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1246736068682
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246736069018
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246736069228
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1246736096703
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736183514
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736211611
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736219853
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736259793
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1246736270781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246736270990
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246736271482
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineEnd,1246736272051
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246736272546
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246736287843
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246736288043
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246736288291
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736292718
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246736320429
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246736322551
