what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.browser,3.2.200.v20080507,org.eclipse.ui.browser,1234085865841
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.help.helpContents,1234085865872
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085866403
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085873688
activated,editor,edu.buffalo.cse.green,3.1.0,edu.buffalo.cse.green.editor.diagrameditor,1234085879678
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1234085880287
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1234085880833
closed,editor,edu.buffalo.cse.green,3.1.0,edu.buffalo.cse.green.editor.diagrameditor,1234085880957
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1234085881332
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1234085881644
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085886698
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085934625
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.help.helpContents,1234085936076
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085936341
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085945783
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1234085962303
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1234085963801
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1234085965049
opened,editor,edu.buffalo.cse.green,3.1.0,edu.buffalo.cse.green.editor.diagrameditor,1234085965252
activated,editor,edu.buffalo.cse.green,3.1.0,edu.buffalo.cse.green.editor.diagrameditor,1234085965283
started,bundle,org.eclipse.pde.core,3.4.0.v20080604-2000,org.eclipse.pde.core,1234085967217
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1234085967248
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234085972896
started,bundle,org.eclipse.rse.services,3.0.0.v20080604,org.eclipse.rse.services,1234085991132
started,bundle,org.eclipse.rse.core,3.0.0.v20080616,org.eclipse.rse.core,1234085991163
