what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242047254054
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242047315706
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242047347187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242047351258
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242047374549
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048413512
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048435679
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048441998
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1242048442014
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1242048446865
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1242048446897
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1242048464587
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1242048468440
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048469283
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048472450
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048473683
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048492003
started,bundle,org.eclipse.jst.server.core,1.1.0.v20080528,org.eclipse.jst.server.core,1242048494640
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048494687
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048495795
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048499523
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1242048534263
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1242048534279
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1242048536962
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1242048536993
