what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605250553
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605259355
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1240605262855
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605263069
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605263104
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605272655
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605272694
opened,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605276005
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605276034
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605311024
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605313327
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605314585
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605319782
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605320920
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605324978
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605325365
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605328651
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605350188
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.backwardHistory,1240605350190
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.navigate.backwardHistory,1240605361260
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.CompilationUnitEditor,1240605362956
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605367528
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605378838
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605380820
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1240605592777
