what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734789720
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734805947
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246734823062
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1246734823272
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246734823343
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246734823778
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246734823950
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246734824159
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246734825716
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.select.lineStart,1246734825935
no handler,command,org.eclipse.datatools.sqltools.result,,org.eclipse.datatools.sqltools.result.removeAllInstances,1246734825979
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246734826670
executed,command,org.eclipse.ui.workbench.texteditor,3.4.0.v20080603-2000,org.eclipse.ui.edit.text.goto.lineEnd,1246734827227
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246734827469
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246734827658
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734857960
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734866750
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734870350
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734889774
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734894331
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734901600
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.save,1246734920487
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734924205
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1246734958635
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.delete,1246734960883
