what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.net,1234025968900
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.core,1234025969056
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1234025969076
started,bundle,org.eclipse.mylyn.commons.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.ui,1234025969120
started,bundle,org.eclipse.ui.forms,3.3.100.v20080611,org.eclipse.ui.forms,1234025969164
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1234025969251
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1234025969268
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1234025969277
started,bundle,org.eclipse.update.core,3.2.200.v20080515,org.eclipse.update.core,1234025969375
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.0.v200806031937,org.eclipse.wst.ws.service.policy.ui,1234025969376
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1234025969399
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234025969731
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026004781
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.export,1234026004804
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026007153
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026022339
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026023106
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026447054
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026448174
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026448828
closed,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1234026448957
stopped,bundle,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt,1234026449201
stopped,bundle,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors,1234026449201
stopped,bundle,com.android.ide.eclipse.common,0.8.0.v200809220836-110569,com.android.ide.eclipse.common,1234026449202
stopped,bundle,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms,1234026449525
